2019-05-08 20:21:43	85.00,12.40,0.37,
2019-05-08 20:21:45	85.00,12.40,0.34,
2019-05-08 20:21:48	85.00,12.40,0.36,
2019-05-08 20:21:50	85.00,12.40,0.36,
2019-05-08 20:21:52	85.00,12.40,0.36,
2019-05-08 20:21:55	85.00,12.40,0.38,
2019-05-08 20:21:57	85.00,12.40,0.36,
2019-05-08 20:22:00	85.00,12.40,0.35,
2019-05-08 20:22:02	85.00,12.40,0.36,
2019-05-08 20:22:05	85.00,12.40,0.37,
2019-05-08 20:22:07	85.00,12.40,0.36,
2019-05-08 20:22:09	85.00,12.40,0.37,
2019-05-08 20:22:12	85.00,12.40,0.38,
2019-05-08 20:22:14	85.00,12.40,0.37,
2019-05-08 20:22:17	85.00,12.40,0.36,
2019-05-08 20:22:19	85.00,12.40,0.36,
2019-05-08 20:22:22	85.00,12.40,0.38,
2019-05-08 20:22:24	85.00,12.40,0.37,
2019-05-08 20:22:26	85.00,12.40,0.36,
2019-05-08 20:22:29	85.00,12.40,0.36,
2019-05-08 20:22:31	85.00,12.40,0.38,
2019-05-08 20:22:34	85.00,12.40,0.37,
2019-05-08 20:22:36	85.00,12.40,0.38,
2019-05-08 20:22:39	85.00,12.40,0.38,
2019-05-08 20:22:41	85.00,12.40,0.38,
2019-05-08 20:22:43	85.00,12.40,0.37,
2019-05-08 20:22:46	85.00,12.40,0.36,
2019-05-08 20:22:48	85.00,12.40,0.37,
2019-05-08 20:22:51	85.00,12.40,0.38,
2019-05-08 20:22:53	85.00,12.40,0.37,
2019-05-08 20:22:56	85.00,12.40,0.37,
2019-05-08 20:22:58	85.00,12.40,0.38,
2019-05-08 20:23:00	85.00,12.40,0.36,
2019-05-08 20:23:03	85.00,12.40,0.37,
2019-05-08 20:23:05	85.00,12.40,0.36,
2019-05-08 20:23:08	85.00,12.40,0.38,
2019-05-08 20:23:10	85.00,12.30,0.37,
2019-05-08 20:23:13	85.00,12.40,0.36,
2019-05-08 20:23:15	85.00,12.40,0.37,
2019-05-08 20:23:17	85.00,12.40,0.35,
2019-05-08 20:23:20	85.00,12.30,0.38,
2019-05-08 20:23:22	85.00,12.40,0.37,
2019-05-08 20:23:25	85.00,12.40,0.38,
2019-05-08 20:23:27	85.00,12.30,0.37,
2019-05-08 20:23:30	85.00,12.40,0.39,
2019-05-08 20:23:32	84.00,12.40,0.38,
2019-05-08 20:23:34	84.00,12.40,0.38,
2019-05-08 20:23:37	85.00,12.40,0.37,
2019-05-08 20:23:39	85.00,12.40,0.38,
2019-05-08 20:23:42	84.00,12.40,0.38,
2019-05-08 20:23:44	84.00,12.40,0.37,
2019-05-08 20:23:47	84.00,12.40,0.38,
2019-05-08 20:23:49	84.00,12.40,0.37,
2019-05-08 20:23:51	84.00,12.40,0.38,
2019-05-08 20:23:54	84.00,12.40,0.38,
2019-05-08 20:23:56	84.00,12.30,0.38,
2019-05-08 20:23:59	84.00,12.40,0.38,
2019-05-08 20:24:01	84.00,12.40,0.37,
2019-05-08 20:24:04	84.00,12.40,0.37,
2019-05-08 20:24:06	84.00,12.30,0.37,
2019-05-08 20:24:08	84.00,12.30,0.38,
2019-05-08 20:24:11	84.00,12.30,0.38,
2019-05-08 20:24:13	84.00,12.40,0.37,
2019-05-08 20:24:16	84.00,12.40,0.39,
2019-05-08 20:24:18	84.00,12.30,0.37,
2019-05-08 20:24:21	84.00,12.40,0.38,
2019-05-08 20:24:23	84.00,12.40,0.37,
2019-05-08 20:24:25	84.00,12.40,0.38,
2019-05-08 20:24:28	84.00,12.40,0.38,
2019-05-08 20:24:30	84.00,12.40,0.37,
2019-05-08 20:24:33	84.00,12.40,0.37,
2019-05-08 20:24:35	84.00,12.40,0.39,
2019-05-08 20:24:38	84.00,12.30,0.38,
2019-05-08 20:24:40	84.00,12.30,0.38,
2019-05-08 20:24:42	84.00,12.40,0.38,
2019-05-08 20:24:45	84.00,12.40,0.39,
2019-05-08 20:24:47	84.00,12.40,0.38,
2019-05-08 20:24:50	84.00,12.40,0.38,
2019-05-08 20:24:52	84.00,12.30,0.38,
2019-05-08 20:24:55	84.00,12.30,0.38,
2019-05-08 20:24:57	84.00,12.40,0.37,
2019-05-08 20:25:00	84.00,12.30,0.39,
2019-05-08 20:25:02	84.00,12.40,0.38,
2019-05-08 20:25:04	84.00,12.30,0.38,
2019-05-08 20:25:07	84.00,12.30,0.38,
2019-05-08 20:25:09	84.00,12.40,0.39,
2019-05-08 20:25:12	84.00,12.40,0.38,
2019-05-08 20:25:14	84.00,12.30,0.39,
2019-05-08 20:25:16	84.00,12.40,0.38,
2019-05-08 20:25:19	84.00,12.30,0.38,
2019-05-08 20:25:21	84.00,12.30,0.39,
2019-05-08 20:25:24	84.00,12.30,0.38,
2019-05-08 20:25:26	84.00,12.30,0.38,
2019-05-08 20:25:29	84.00,12.30,0.39,
2019-05-08 20:25:31	84.00,12.40,0.38,
2019-05-08 20:25:34	84.00,12.30,0.37,
2019-05-08 20:25:36	84.00,12.30,0.39,
2019-05-08 20:25:38	84.00,12.40,0.38,
2019-05-08 20:25:41	84.00,12.30,0.38,
2019-05-08 20:25:43	84.00,12.30,0.40,
2019-05-08 20:25:46	84.00,12.30,0.37,
2019-05-08 20:25:48	84.00,12.40,0.38,
2019-05-08 20:25:50	84.00,12.30,0.37,
2019-05-08 20:25:53	84.00,12.30,0.37,
2019-05-08 20:25:55	84.00,12.30,0.37,
2019-05-08 20:25:58	84.00,12.30,0.38,
2019-05-08 20:26:00	84.00,12.30,0.38,
2019-05-08 20:26:03	84.00,12.30,0.39,
2019-05-08 20:26:05	84.00,12.30,0.38,
2019-05-08 20:26:08	84.00,12.30,0.37,
2019-05-08 20:26:10	84.00,12.30,0.37,
2019-05-08 20:26:12	84.00,12.30,0.37,
2019-05-08 20:26:15	84.00,12.30,0.37,
