87,10.40,0.00,
1557369437,89,11.30,0.00,
1557369558,89,11.30,0.00,
1557369679,89,11.30,0.00,
1557369800,89,11.30,0.00,
1557369921,89,11.30,0.00,
1557370042,89,11.40,0.00,
1557370163,89,11.40,0.00,
1557370284,89,11.30,0.00,
1557370405,89,11.40,0.00,
1557370526,89,11.30,0.00,
1557370647,89,11.30,0.00,
1557370768,89,11.30,0.00,
1557370889,89,11.30,0.00,
1557371010,89,11.30,0.00,
1557371131,89,11.30,0.00,
1557371252,89,11.30,0.00,
1557371373,89,11.30,0.00,
1557371494,89,11.40,0.00,
1557371615,89,11.30,0.00,
1557371736,89,11.30,0.00,
1557371857,89,11.30,0.00,
1557371978,89,11.30,0.00,
1557372099,89,11.30,0.00,
1557372220,89,11.40,0.00,
1557372341,89,11.30,0.00,
1557372462,89,11.40,0.00,
1557372583,89,11.30,0.00,
1557372704,89,11.30,0.00,
1557372825,89,11.30,0.00,
1557372946,89,11.40,0.00,
1557373067,89,11.30,0.00,
1557373188,89,11.30,0.00,
1557373309,89,11.30,0.00,
1557373430,89,11.30,0.00,
1557373551,89,11.30,0.00,
1557373672,89,11.30,0.00,
1557373793,89,11.30,0.00,
1557373914,89,11.30,0.00,
1557374035,89,11.30,0.00,
1557374156,89,11.40,0.00,
1557374277,89,11.30,0.00,
1557374398,89,11.30,0.00,
1557374519,89,11.20,0.00,
1557374640,89,11.20,0.00,
1557374761,89,11.20,0.00,
1557374882,89,11.20,0.00,
1557375003,89,11.20,0.00,
1557375124,89,11.20,0.00,
1557375245,89,11.30,0.00,
1557375366,89,11.20,0.00,
1557375487,89,11.20,0.00,
1557375608,89,11.20,0.00,
1557375729,89,11.20,0.00,
1557375850,89,11.20,0.00,
1557375971,89,11.20,0.00,
1557376092,89,11.20,0.00,
1557376213,89,11.10,0.00,
1557376334,89,11.20,0.00,
1557376455,89,11.10,0.00,
1557376576,89,11.10,0.00,
1557376697,89,11.10,0.00,
1557376818,89,11.10,0.00,
1557376939,89,11.10,0.00,
1557377060,89,11.10,0.00,
1557377181,89,11.10,0.00,
1557377302,89,11.10,0.00,
1557377423,89,11.10,0.00,
1557377544,89,11.10,0.00,
1557377665,89,11.10,0.00,
1557377786,89,11.10,0.00,
1557377907,89,11.10,0.00,
1557378028,89,11.10,0.00,
1557378149,89,11.00,0.00,
1557378270,89,11.10,0.00,
1557378391,89,11.00,0.00,
1557378512,89,11.00,0.00,
1557378633,89,11.00,0.00,
1557378754,89,11.00,0.00,
1557378875,89,11.00,0.00,
1557378996,89,11.00,0.00,
1557379117,89,11.00,0.00,
1557379238,89,11.00,0.00,
1557379359,88,10.90,0.00,
1557379480,88,10.90,0.00,
1557379601,88,10.90,0.00,
1557379722,88,10.90,0.00,
1557379843,88,10.90,0.00,
1557379964,88,10.90,0.00,
1557380085,88,10.90,0.00,
1557380206,88,10.90,0.00,
1557380327,88,10.90,0.00,
1557380448,88,10.80,0.00,
1557380569,88,10.80,0.00,
1557380690,88,10.80,0.00,
1557380811,88,10.80,0.00,
1557380932,88,10.70,0.00,
1557381053,88,10.80,0.00,
1557381174,88,10.70,0.00,
1557381295,88,10.70,0.00,
1557381416,88,10.70,0.00,
1557381537,88,10.70,0.00,
1557381658,88,10.70,0.00,
1557381779,88,10.60,0.00,
1557381900,88,10.60,0.00,
1557382021,88,10.60,0.00,
1557382142,88,10.70,0.00,
1557382263,88,10.60,0.00,
1557382384,88,10.60,0.00,
1557382505,88,10.60,0.00,
1557382626,88,10.60,0.00,
1557382747,88,10.60,0.00,
1557382868,88,10.70,0.00,
1557382989,88,10.60,0.00,
1557383110,88,10.60,0.00,
1557383231,88,10.60,0.00,
1557383352,88,10.60,0.00,
1557383473,88,10.60,0.00,
1557383594,88,10.50,0.00,
1557383715,88,10.50,0.00,
1557383836,88,10.50,0.00,
1557383957,88,10.50,0.00,
1557384078,88,10.60,0.00,
1557384199,88,10.50,0.00,
1557384320,88,10.50,0.00,
1557384441,88,10.50,0.00,
1557384562,88,10.50,0.00,
1557384683,88,10.50,0.00,
1557384804,88,10.50,0.00,
1557384925,88,10.50,0.00,
1557385046,88,10.50,0.00,
1557385167,88,10.40,0.00,
1557385288,88,10.50,0.00,
1557385409,88,10.50,0.00,
1557385530,88,10.50,0.00,
1557385651,88,10.50,0.00,
1557385772,88,10.40,0.00,
1557385893,88,10.50,0.00,
1557386014,88,10.50,0.00,
1557386135,88,10.50,0.00,
1557386256,88,10.40,0.00,
1557386377,88,10.40,0.00,
1557386498,88,10.50,0.00,
1557386619,88,10.40,0.00,
1557386740,88,10.40,0.00,
1557386861,88,10.40,0.00,
1557386982,88,10.40,0.00,
1557387103,88,10.40,0.00,
1557387224,88,10.40,0.00,
1557387345,88,10.40,0.00,
1557387466,88,10.40,0.00,
1557387587,88,10.40,0.00,
1557387708,88,10.40,0.00,
1557387829,88,10.30,0.00,
1557387950,88,10.40,0.00,
1557388071,88,10.40,0.00,
1557388192,88,10.30,0.00,
1557388313,88,10.40,0.00,
1557388434,88,10.40,0.00,
1557388555,88,10.40,0.00,
1557388676,88,10.40,0.00,
1557388797,88,10.40,0.00,
1557388918,88,10.30,0.00,
1557389039,88,10.40,0.00,
1557389160,88,10.30,0.00,
1557389281,88,10.30,0.00,
1557389402,88,10.30,0.00,
1557389523,88,10.40,0.00,
1557389644,88,10.30,0.00,
1557389765,88,10.30,0.00,
1557389886,88,10.30,0.00,
1557390007,88,10.30,0.00,
1557390128,88,10.30,0.00,
1557390249,88,10.30,0.00,
1557390370,88,10.30,0.00,
1557390491,88,10.30,0.00,
1557390612,88,10.30,0.00,
1557390733,88,10.30,0.00,
1557390854,88,10.30,0.00,
1557390975,88,10.30,0.00,
1557391096,88,10.30,0.00,
1557391217,88,10.20,0.00,
1557391338,88,10.30,0.00,
1557391459,88,10.20,0.00,
1557391580,88,10.20,0.00,
1557391701,88,10.20,0.00,
1557391822,88,10.30,0.00,
1557391943,88,10.20,0.00,
1557392064,88,10.20,0.00,
1557392185,88,10.20,0.00,
1557392306,88,10.20,0.00,
1557392427,88,10.10,0.00,
1557392548,88,10.10,0.00,
1557392669,88,10.10,0.00,
1557392790,88,10.10,0.00,
1557392911,88,10.10,0.00,
1557393032,88,10.00,0.00,
1557393153,88,10.00,0.00,
1557393274,88,10.00,0.00,
1557393395,88,10.00,0.00,
1557393516,88,10.00,0.00,
1557393637,88,10.00,0.00,
1557393758,88,10.00,0.00,
1557393879,88,10.00,0.00,
1557394000,88,10.00,0.00,
1557394121,88,9.90,0.00,
1557394242,88,10.00,0.00,
1557394363,88,10.00,0.00,
1557394484,88,9.90,0.00,
1557394605,88,9.90,0.00,
1557394726,88,9.90,0.00,
1557394847,88,10.00,0.00,
1557394968,88,9.90,0.00,
1557395089,88,9.90,0.00,
1557395210,88,9.90,0.00,
1557395331,88,9.90,0.00,
1557395452,88,9.90,0.00,
1557395573,88,9.90,0.00,
1557395694,88,9.90,0.00,
1557395815,88,9.90,0.00,
1557395936,88,9.90,0.00,
1557396057,88,9.90,0.00,
1557396178,88,9.90,0.00,
1557396299,88,9.90,0.00,
1557396420,88,9.90,0.00,
1557396541,88,9.90,0.00,
1557396662,88,9.80,0.00,
1557396783,88,9.80,0.00,
1557396904,88,9.80,0.00,
1557397025,88,9.80,0.00,
1557397146,88,9.80,0.00,
1557397267,88,9.80,0.00,
1557397388,88,9.70,0.00,
1557397509,88,9.80,0.00,
1557397630,88,9.70,0.00,
1557397751,88,9.70,0.00,
1557397872,88,9.70,0.00,
1557397993,88,9.70,0.00,
1557398114,88,9.70,0.00,
1557398235,88,9.70,0.00,
1557398356,88,9.70,0.00,
1557398477,88,9.70,0.00,
1557398598,88,9.60,0.00,
1557398719,88,9.60,0.00,
1557398840,88,9.60,0.00,
1557398961,88,9.60,0.00,
1557399082,88,9.70,0.00,
1557399203,88,9.60,0.00,
1557399324,88,9.60,0.00,
1557399445,88,9.60,0.00,
1557399566,88,9.60,0.00,
1557399687,88,9.60,0.00,
1557399808,88,9.50,0.00,
1557399929,88,9.50,0.00,
1557400050,88,9.50,0.00,
1557400171,88,9.50,0.00,
1557400292,88,9.50,0.00,
1557400413,88,9.50,0.00,
1557400534,88,9.50,0.00,
1557400655,88,9.40,0.00,
1557400776,88,9.40,0.00,
1557400897,88,9.40,0.00,
1557401018,88,9.40,0.00,
1557401139,88,9.40,0.00,
1557401260,88,9.40,0.00,
1557401381,88,9.30,0.00,
1557401502,88,9.40,0.00,
1557401623,88,9.40,0.00,
1557401744,88,9.40,0.00,
1557401865,88,9.30,0.00,
1557401986,88,9.40,0.00,
1557402107,88,9.40,0.00,
1557402228,88,9.40,0.00,
1557402349,88,9.30,0.00,
1557402470,88,9.40,0.00,
1557402591,88,9.30,0.00,
1557402712,88,9.40,0.00,
1557402833,88,9.40,0.00,
1557402954,88,9.30,0.00,
1557403075,88,9.30,0.00,
1557403196,88,9.40,0.00,
1557403317,88,9.30,0.00,
1557403438,88,9.30,0.00,
1557403559,88,9.30,0.00,
1557403680,88,9.30,0.00,
1557403801,88,9.30,0.00,
1557403922,88,9.30,0.00,
1557404043,88,9.30,0.00,
1557404164,88,9.30,0.00,
1557404285,88,9.30,0.00,
1557404406,88,9.30,0.00,
1557404527,88,9.30,0.00,
1557404648,88,9.30,0.00,
